listing_id,seller_id,listed_date,category,price
L0000000,S000000,2025-02-27,Electronics,43.7
L0000001,S000000,2025-02-16,Electronics,66.96
L0000002,S000000,2025-03-01,Electronics,64.85
L0000003,S000000,2025-03-02,Electronics,22.66
L0000004,S000001,2025-11-01,Sports,10.03
L0000005,S000001,2025-10-17,Sports,50.99
L0000006,S000002,2025-09-25,Electronics,99.99
L0000007,S000002,2025-09-13,Electronics,49.99
L0000008,S000002,2025-09-17,Jewelry,199.99
L0000009,S000002,2025-09-11,Jewelry,499.99
L0000010,S000002,2025-09-15,Electronics,199.99
L0000011,S000002,2025-09-11,Electronics,199.99
L0000012,S000002,2025-09-10,Electronics,499.99
L0000013,S000002,2025-09-21,Electronics,199.99
L0000014,S000002,2025-09-03,Jewelry,199.99
L0000015,S000002,2025-09-12,Electronics,199.99
L0000016,S000002,2025-09-04,Jewelry,999.99
L0000017,S000002,2025-09-18,Electronics,199.99
L0000018,S000002,2025-09-11,Jewelry,499.99
L0000019,S000003,2025-06-24,Grocery,24.8
L0000020,S000003,2025-06-23,Grocery,132.16
L0000021,S000003,2025-06-24,Grocery,43.35
L0000022,S000003,2025-06-10,Grocery,61.07
L0000023,S000003,2025-06-11,Grocery,28.93
L0000024,S000003,2025-06-15,Grocery,48.69
L0000025,S000003,2025-06-26,Grocery,33.69
L0000026,S000003,2025-06-10,Grocery,146.01
L0000027,S000003,2025-06-15,Grocery,23.58
L0000028,S000003,2025-07-01,Grocery,49.74
L0000029,S000004,2025-06-22,Sports,84.47
L0000030,S000004,2025-06-24,Sports,23.92
L0000031,S000005,2025-11-30,Fashion,15.23
L0000032,S000005,2025-11-22,Fashion,110.01
L0000033,S000005,2025-11-21,Fashion,12.82
L0000034,S000005,2025-11-16,Fashion,42.11
L0000035,S000005,2025-11-21,Fashion,51.13
L0000036,S000005,2025-11-24,Fashion,36.12
L0000037,S000005,2025-12-01,Fashion,43.34
L0000038,S000005,2025-12-07,Fashion,18.61
