payout_id,seller_id,payout_date,amount,days_since_first_transaction
P000000,S000000,2025-05-23,285.03,107
P000001,S000001,2026-01-29,334.48,111
P000002,S000002,2025-11-24,1080.27,72
P000003,S000003,2025-07-23,65.22,32
P000004,S000004,2025-09-02,150.05,59
P000005,S000005,2026-02-19,572.04,93
P000006,S000006,2025-02-22,2140.48,21
P000007,S000007,2025-10-04,4526.41,21
P000008,S000008,2025-06-12,790.19,81
P000009,S000009,2025-05-19,687.58,100
P000010,S000010,2025-10-19,740.28,86
P000011,S000011,2026-04-18,867.54,112
P000012,S000012,2026-01-06,543.01,101
P000013,S000013,2026-01-22,814.21,109
P000014,S000014,2026-01-03,657.64,104
P000015,S000015,2026-01-25,241.96,90
P000016,S000016,2025-10-25,425.48,103
P000017,S000017,2025-05-31,171.83,96
P000018,S000018,2026-01-23,115.33,71
P000019,S000019,2025-09-26,801.91,91
P000020,S000020,2025-10-15,37.51,83
P000021,S000021,2025-08-17,321.18,88
P000022,S000022,2025-06-12,536.54,90
P000023,S000023,2026-03-07,586.6,84
P000024,S000025,2025-11-22,711.56,90
P000025,S000026,2025-09-05,817.37,101
P000026,S000027,2026-02-03,375.86,95
P000027,S000028,2025-10-14,275.77,83
P000028,S000029,2025-09-15,1056.14,95
P000029,S000030,2025-09-23,265.83,87
P000030,S000031,2025-07-15,460.03,110
P000031,S000032,2025-05-15,171.51,85
P000032,S000033,2025-10-27,885.59,95
P000033,S000034,2026-02-20,929.88,83
P000034,S000035,2025-04-27,286.14,91
P000035,S000036,2026-02-28,516.96,110
P000036,S000037,2026-02-21,545.26,114
P000037,S000038,2025-06-26,105.31,52
P000038,S000039,2025-12-12,723.38,115
P000039,S000040,2025-06-20,372.99,97
P000040,S000041,2026-01-06,423.67,91
P000041,S000042,2025-12-28,261.54,79
P000042,S000043,2025-08-21,803.57,102
P000043,S000044,2025-03-11,47.03,16
P000044,S000045,2026-04-03,415.45,97
P000045,S000046,2025-09-12,927.48,71
P000046,S000047,2026-03-14,364.48,112
P000047,S000048,2025-09-28,54.77,18
P000048,S000049,2026-01-18,407.6,91
P000049,S000050,2026-01-29,645.75,116
P000050,S000051,2025-06-13,651.87,90
P000051,S000053,2025-09-13,576.69,79
P000052,S000054,2025-10-03,409.54,92
P000053,S000055,2025-04-28,926.63,96
P000054,S000056,2025-11-04,669.39,108
P000055,S000057,2025-06-03,331.54,94
P000056,S000058,2026-01-11,786.83,94
P000057,S000059,2025-12-17,685.18,101
P000058,S000060,2026-03-22,256.68,106
P000059,S000061,2026-01-19,884.36,112
P000060,S000062,2025-09-04,1095.0,110
P000061,S000063,2026-03-26,993.58,96
P000062,S000064,2025-09-21,546.87,109
P000063,S000065,2025-08-14,537.67,107
P000064,S000066,2026-03-21,237.88,89
P000065,S000067,2025-08-21,480.51,96
P000066,S000068,2025-04-25,720.55,85
P000067,S000070,2026-01-02,134.87,75
P000068,S000071,2025-07-07,103.16,38
P000069,S000073,2025-06-01,213.38,101
P000070,S000074,2025-12-26,78.75,62
P000071,S000075,2025-10-17,591.88,108
P000072,S000076,2025-07-19,264.9,77
P000073,S000077,2025-07-12,138.7,83
P000074,S000078,2025-10-15,65.13,14
P000075,S000079,2025-09-20,2007.21,17
P000076,S000080,2026-03-19,794.14,97
