seller_id,registration_date,business_category,identity_consistency_score,email_domain_age_days,device_id,ip_hash,is_fraud,fraud_type
S000000,2025-02-02,Electronics,0.662,2517,D002233,IP008254,False,none
S000001,2025-10-10,Sports,0.963,1874,D009593,IP006588,False,none
S000002,2025-08-27,Sports,0.968,1986,D003623,IP009431,True,stolen_goods
S000003,2025-06-10,Grocery,0.803,2341,D006841,IP006028,False,none
S000004,2025-06-08,Sports,0.902,796,D007019,IP000395,False,none
S000005,2025-11-10,Fashion,0.828,653,D001820,IP005109,False,none
S000006,2025-02-01,Beauty,0.874,2990,D000389,IP007744,True,bust_out
S000007,2025-09-12,Toys,0.735,2004,D009487,IP007879,True,bust_out
S000008,2025-03-15,Automotive Parts,0.912,877,D007004,IP003863,False,none
S000009,2025-02-04,Sports,0.686,1937,D006313,IP001710,False,none
S000010,2025-07-12,Books,0.667,1181,D003037,IP008690,False,none
S000011,2025-12-23,Grocery,0.838,2578,D001080,IP008231,False,none
S000012,2025-09-26,Beauty,0.829,1525,D002718,IP008788,False,none
S000013,2025-10-05,Automotive Parts,0.877,941,D005477,IP006706,False,none
S000014,2025-09-19,Books,0.785,2071,D006934,IP008286,False,none
S000015,2025-10-14,Jewelry,1.0,2250,D003190,IP004027,False,none
S000016,2025-07-07,Grocery,0.866,1118,D002149,IP007792,False,none
S000017,2025-02-16,Books,0.873,2256,D002495,IP004882,False,none
S000018,2025-11-03,Electronics,0.87,703,D009616,IP007942,False,none
S000019,2025-06-14,Sports,0.95,718,D006305,IP001463,False,none
S000020,2025-07-02,Fashion,0.908,2479,D009906,IP002965,False,none
S000021,2025-05-16,Books,0.894,1863,D000062,IP002143,False,none
S000022,2025-03-08,Grocery,0.924,106,D004581,IP004065,False,none
S000023,2025-12-05,Sports,0.668,2025,D004573,IP008145,False,none
S000024,2025-10-13,Beauty,0.671,918,D004014,IP001150,False,none
S000025,2025-08-24,Electronics,0.842,824,D003915,IP007305,False,none
S000026,2025-05-27,Books,0.83,1272,D000790,IP008305,False,none
S000027,2025-10-28,Books,0.908,1355,D000321,IP006711,False,none
S000028,2025-07-19,Toys,0.852,2675,D007782,IP006460,False,none
