transaction_id,seller_id,buyer_id,transaction_date,amount
T00000000,S000000,B0014305,2025-02-21,19.57
T00000001,S000000,B0006924,2025-03-15,26.33
T00000002,S000000,B0004177,2025-04-06,32.25
T00000003,S000000,B0010564,2025-04-27,10.07
T00000004,S000000,B0010585,2025-04-21,5.0
T00000005,S000000,B0009894,2025-03-16,6.8
T00000006,S000000,B0011788,2025-02-19,64.75
T00000007,S000000,B0004297,2025-04-02,15.49
T00000008,S000000,B0004921,2025-04-24,8.91
T00000009,S000000,B0013838,2025-02-13,18.89
T00000010,S000000,B0013249,2025-04-29,37.26
T00000011,S000000,B0012375,2025-02-05,6.08
T00000012,S000000,B0011614,2025-03-08,8.55
T00000013,S000000,B0009869,2025-02-20,35.15
T00000014,S000000,B0009527,2025-02-18,85.6
T00000015,S000001,B0002671,2025-10-15,43.99
T00000016,S000001,B0001106,2025-12-04,29.32
T00000017,S000001,B0011944,2025-12-27,28.34
T00000018,S000001,B0011284,2025-11-27,5.72
T00000019,S000001,B0012705,2025-12-29,15.15
T00000020,S000001,B0003108,2025-10-10,22.55
T00000021,S000001,B0005651,2025-11-12,19.41
T00000022,S000001,B0008307,2025-11-19,43.97
T00000023,S000001,B0010365,2025-10-24,29.37
T00000024,S000001,B0004585,2025-11-14,19.84
T00000025,S000001,B0014292,2025-10-15,36.51
T00000026,S000001,B0014340,2026-01-02,23.17
T00000027,S000001,B0010860,2025-10-17,73.71
T00000028,S000001,B0005103,2025-10-27,30.22
T00000029,S000002,B0008569,2025-09-27,28.32
T00000030,S000002,B0000530,2025-09-19,84.62
T00000031,S000002,B0000058,2025-11-22,84.1
T00000032,S000002,B0002005,2025-10-09,102.55
T00000033,S000002,B0002907,2025-09-13,182.51
T00000034,S000002,B0004296,2025-11-16,174.83
T00000035,S000002,B0009218,2025-11-15,46.51
T00000036,S000002,B0004886,2025-09-15,33.62
T00000037,S000002,B0007441,2025-09-29,170.05
T00000038,S000002,B0004169,2025-10-18,47.89
T00000039,S000002,B0009729,2025-09-16,227.06
T00000040,S000002,B0006379,2025-10-24,37.2
T00000041,S000003,B0012825,2025-07-01,65.83
T00000042,S000003,B0014035,2025-06-21,15.33
T00000043,S000004,B0007971,2025-08-11,10.56
T00000044,S000004,B0010639,2025-07-10,15.61
